id,user,vehicle,passport,employment_record,residence_place
1,11,8,3198329812,52640563632020369524,"пер. Грибоедова, д. 2 стр. 3"
2,12,7,4892398998,68256219399929392565,892 Rebecca Lake Apt. 844
3,13,10,2389482898,66487973307054786679,"ш. М.Горького, д. 375 стр. 40"
4,14,7,4812347832,35270210847473348913,"алл. Владимирская, д. 76"
5,15,6,5929892929,19320994037834160443,527 Jaime Terrace
6,16,5,4812347832,47884663920478609558,"пр. Крестьянский, д. 2/2"
7,17,7,2389482898,73147736519895179187,"ш. Краснодарское, д. 2 стр. 62"
8,18,2,5929892929,63186227405708719859,276 Patel Mission
9,19,4,5929892929,62452981992648570276,8596 Kenneth Club
10,20,3,4892398998,43146022949843892660,"наб. Проезжая, д. 9/5 к. 112"
